NestID	BaitID	Latitude	Longitude	Distance	DirectionFromBait	DirectionFromNest	Urbanisation						
1	20	50.9796268	3.7798035	2042	5.1	185.1	0.08292						
1	21	50.9795941	3.7798293	2046	5.1	185.1	0.07184						
4	1	50.9811479	4.5297689	272	22.0	202.0	0.10508						
3	2	50.9795267	4.5304371	150	200.0	20.0	0.00917						
6	1	51.0186139	3.7588517	730	321.5	141.5	0.21832						
10	1	51.2941460	4.4825410	332	83.9	263.9	0.16115						
10	2	51.2933170	4.4833640	301	64.9	244.9	0.08803						
10	3	51.2936820	4.4846450	203	65.0	245.0	0.21121						
10	4	51.2922670	4.4855010	274	27.0	207.0	0.14255						
10	5	51.2927370	4.4866930	196	12.0	192.0	0.26127						
10	6	51.2928130	4.4870890	184	4.0	184.0	0.32166						
10	7	51.2932280	4.4868300	141	13.0	193.0	0.32510						
10	8	51.2940100	4.4875710	54	338.0	158.0	0.19962						
11	1	50.7819604	4.5965174	746	135.5	315.5	0.12202						
12	1	50.7510700	4.5637250	134	238.0	58.0	0.14571						
13	1	51.2760154	4.6105631	652	169.0	349.0	0.05401						
13	2	51.2680190	4.6170784	415	307.1	127.1	0.04382						
13	3	51.2687810	4.6070970	401	65.7	245.7	0.06713						
14	1	51.0048475	4.6229757	157	173.0	353.0	0.06241						
14	2	51.0010532	4.6225815	270	10.0	190.0	0.00000						
14	3	51.0035010	4.6265367	232	268.0	88.0	0.18787						
14	4	51.0062953	4.6270100	413	219.9	39.9	0.10788						
15	1	51.2990471	4.8468346	313	241.1	61.1	0.00548						
16	6	51.0350400	3.7203900	139	252.0	72.0	0.21742						
16	7	51.0345720	3.7194940	70	277.0	97.0	0.45523						
16	8	51.0353060	3.7193100	92	217.0	37.0	0.07744						
16	10	51.0358300	3.7202800	181	223.0	43.0	0.06356						
16	11	51.0350000	3.7195600	84	242.0	62.0	0.18711						
16	2	51.0339600	3.7180300	83	24.0	204.0	0.20341						
17	1	51.1231041	3.5671701	415	119.4	299.4	0.09680						
17	2	51.1223525	3.5702941	187	130.0	310.0	0.00000						
18	1	50.9399220	4.0752540	706	240.8	60.8	0.05770						
18	2	50.9377700	4.0709510	331	251.6	71.6	0.00242						
18	3	50.9377450	4.0694150	230	244.0	64.0	0.05986						
18	4	50.9370440	4.0649620	110	102.0	282.0	0.23029						
19	13	51.0316900	3.7169250	340	83.8	263.8	0.07400						
20	1	50.9924048	4.6975972	188	313.0	133.0	0.00000						
20	2	50.9978622	4.6939184	494	165.8	345.8	0.12355						
22	11	51.0350000	3.7195600	687	63.0	243.0	0.18711						
21	Mais	51.0597350	3.6386810	583	123.3	303.3	0.00000						
21	Koeien	51.0551280	3.6395300	469	65.8	245.8	0.00000						
21	Miserie	51.0587180	3.6401730	435	118.4	298.4	0.06891						
21	Allure	51.0572960	3.6429230	196	104.0	284.0	0.15221						
21	Paradijskouter1	51.0558030	3.6455410	118	3.0	183.0	0.17042						
21	Paradijskouter2	51.0558790	3.6455240	109	4.0	184.0	0.11183						
21	Kruisstraat1	51.0579320	3.6475840	181	229.0	49.0	0.17042						
21	Kruisstraat2	51.0579650	3.6472060	165	222.0	42.0	0.17909						
21	Grasmaaier	51.0568200	3.6453670	19	77.0	257.0	0.08814						
21	Klaphof	51.0572570	3.6453850	48	158.0	338.0	0.13463						
23	1	51.3929400	4.5062900	957	63.6	243.6	0.03325						
23	2	51.3962800	4.5110800	526	84.2	264.2	0.01783						
23	3	51.3963700	4.5156000	214	78.0	258.0	0.08726						
24	1	50.8981440	4.7631200	889	49.9	229.9	0.00000						
24	2	50.9017340	4.7667470	459	67.8	247.8	0.00000						
24	3	50.9024990	4.7696650	237	68.0	248.0	0.01503						
26	1	50.9713438	4.1858308	548	203.3	23.3	0.16622						
27	1	50.7707396	2.8215275	674	280.5	100.5	0.00000						
28	Asterdreef	51.0503670	3.7582290	359	72.5	252.5	0.26888						
29	1	50.9570209	4.8425238	619	88.2	268.2	0.00904						
30	1	50.9942622	4.8281528	197	35.0	215.0	0.10737						
30	2	50.9942886	4.8350565	404	293.1	113.1	0.00000						
30	3	50.9937553	4.8362176	503	295.6	115.6	0.01274						
30	4	50.9963887	4.8367092	493	261.2	81.2	0.00624						
30	5	51.0014576	4.8395544	939	227.1	47.1	0.15909						
30	6	50.9920435	4.8410502	891	297.2	117.2	0.19564						
30	7	50.9937397	4.8362313	504	295.8	115.8	0.00000						
31	Koeien	51.0551280	3.6395300	1058	114.2	294.2	0.00000						
31	Paradijskouter1	51.0579320	3.6475840	846	151.8	331.8	0.17042						
32	SintJobsstraat	51.1806770	4.8423100	448	48.4	228.4	0.00217						
32	Hondenweide	51.1827020	4.8438110	241	73.0	253.0	0.00000						
33	Hof Ter Mere	51.0338520	3.7096690	78	113.0	293.0	0.45446						
34	1	50.9703667	4.8029139	980	252.8	72.8	0.02242						
34	2	50.9620196	4.7936438	700	336.0	156.0	0.19628						
35	1	50.9791400	4.7433969	684	204.4	24.4	0.09184						
35	2	50.9785380	4.7381440	562	171.1	351.1	0.12546						
36	1	50.9836903	4.7514690	439	163.0	343.0	0.11565						
36	2	50.9801993	4.7474469	412	94.3	274.3	0.00000						
37	1	51.1616504	3.4744200	691	171.6	351.6	0.05197						
37	2	51.1592030	3.4757090	412	178.5	358.5	0.04522						
38	Apotheek	51.0612700	3.7478600	53	3.0	183.0	0.53509						
38	Azaleapark	51.0612100	3.7478600	130	293.0	113.0	0.21500						
39	Apotheek	51.0612700	3.7478600	33	23.0	203.0	0.53509						
40	Goorstraat	50.9817100	4.5306300	164	25.0	205.0	0.18087						
40	Venstraat_tuin	50.9834100	4.5326400	82	240.0	60.0	0.11030						
40	Venstraat_doodlopend	50.9827300	4.5345300	207	280.0	100.0	0.11311						
40	ImkerBart	50.9811479	4.5297689	248	32.0	212.0	0.10508						
